Season,Lg,Tm,,,,,
2023-24,NBA,1st,Chet Holmgren,Jaime Jaquez Jr.,Brandon Miller,Brandin Podziemski,Victor Wembanyama
2023-24,NBA,2nd,Keyonte George,GG Jackson II ,Dereck Lively II,Amen Thompson,Cason Wallace
2022-23,NBA,1st,Paolo Banchero,Walker Kessler,Bennedict Mathurin,Keegan Murray,Jalen Williams
2022-23,NBA,2nd,Jalen Duren,Tari Eason,Jaden Ivey,Jabari Smith,Jeremy Sochan
2021-22,NBA,1st,Scottie Barnes,Cade Cunningham,Evan Mobley,Franz Wagner,Jalen Green
2021-22,NBA,2nd,Herbert Jones,Josh Giddey,Bones Hyland,Ayo Dosunmu,Chris Duarte
2020-21,NBA,1st,LaMelo Ball,Saddiq Bey,Anthony Edwards,Tyrese Haliburton,Jae'Sean Tate
2020-21,NBA,2nd,Desmond Bane,Isaac Okoro,Immanuel Quickley,Isaiah Stewart,Patrick Williams
2019-20,NBA,1st,Ja Morant,Kendrick Nunn,Brandon Clarke,Zion Williamson,Eric Paschall
2019-20,NBA,2nd,Tyler Herro,Terence Davis,Coby White,P.J. Washington,Rui Hachimura
2018-19,NBA,1st,Luka Dončić,Trae Young,Deandre Ayton,Jaren Jackson,Marvin Bagley
2018-19,NBA,2nd,Shai Gilgeous-Alexander,Collin Sexton,Landry Shamet,Mitchell Robinson,Kevin Huerter
2017-18,NBA,1st,Donovan Mitchell,Ben Simmons,Jayson Tatum,Kyle Kuzma,Lauri Markkanen
2017-18,NBA,2nd,Dennis Smith,Lonzo Ball,John Collins,Bogdan Bogdanović,Josh Jackson
2016-17,NBA,1st,Malcolm Brogdon,Dario Šarić,Joel Embiid,Buddy Hield,Willy Hernangómez
2016-17,NBA,2nd,Jamal Murray,Jaylen Brown,Marquese Chriss,Brandon Ingram,Yogi Ferrell
2015-16,NBA,1st,Karl-Anthony Towns,Kristaps Porziņģis,Devin Booker,Nikola Jokić,Jahlil Okafor
2015-16,NBA,2nd,Justise Winslow,D'Angelo Russell,Emmanuel Mudiay,Myles Turner,Willie Cauley-Stein
2014-15,NBA,1st,Andrew Wiggins,Nikola Mirotić,Nerlens Noel,Elfrid Payton,Jordan Clarkson
2014-15,NBA,2nd,Marcus Smart,Zach LaVine,Bojan Bogdanović,Jusuf Nurkić,Langston Galloway
2013-14,NBA,1st,Michael Carter-Williams,Victor Oladipo,Trey Burke,Mason Plumlee,Tim Hardaway
2013-14,NBA,2nd,Kelly Olynyk,Giannis Antetokounmpo,Gorgui Dieng,Cody Zeller,Steven Adams
2012-13,NBA,1st,Harrison Barnes,Bradley Beal,Anthony Davis,Damian Lillard,Dion Waiters
2012-13,NBA,2nd,Andre Drummond,Michael Kidd-Gilchrist,Kyle Singler,Jonas Valančiūnas,Tyler Zeller
2011-12,NBA,1st,Kenneth Faried,Kyrie Irving,Ricky Rubio,Klay Thompson,Brandon Knight Kawhi Leonard (T)
2011-12,NBA,2nd,MarShon Brooks,Chandler Parsons,Isaiah Thomas,Tristan Thompson,Derrick Williams
2010-11,NBA,1st,DeMarcus Cousins,Landry Fields,Blake Griffin,Gary Neal,John Wall
2010-11,NBA,2nd,Eric Bledsoe,Derrick Favors,Paul George,Wesley Johnson,Greg Monroe
2009-10,NBA,1st,Darren Collison,Stephen Curry,Tyreke Evans,Taj Gibson,Brandon Jennings
2009-10,NBA,2nd,DeJuan Blair,Jonny Flynn,James Harden,Jonas Jerebko,Marcus Thornton
2008-09,NBA,1st,Michael Beasley,Brook Lopez,O.J. Mayo,Derrick Rose,Russell Westbrook
2008-09,NBA,2nd,Mario Chalmers,Marc Gasol,Eric Gordon,Kevin Love,D.J. Augustin Rudy Fernández (T)
2007-08,NBA,1st,Kevin Durant,Jeff Green,Al Horford,Luis Scola,Al Thornton
2007-08,NBA,2nd,Carl Landry,Jamario Moon,Juan Carlos Navarro,Rodney Stuckey,Thaddeus Young
