,Rk,Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
20,19,William Avery,PG,59,484,56,181,0.309,18,63,0.286,38,118,0.322,0.359,24,36,0.667,8,32,40,88,14,2,42,60,154,6.7,0.391,0.348,0.199,1.9,7.8,4.8,26.2,1.5,0.3,17.6,22.3,-0.8,0.3,-0.5,-0.046,-4.3,-2.0,-6.3,-0.5
31,28,Jonathan Bender,SF,24,130,23,70,0.329,2,12,0.167,21,58,0.362,0.343,16,24,0.667,4,17,21,3,1,5,7,18,64,7.6,0.397,0.171,0.343,3.6,14.1,9.1,3.9,0.4,2.5,8.0,30.6,-0.3,0.1,-0.2,-0.074,-7.5,-3.1,-10.6,-0.3
44,39,Calvin Booth,C,11,143,16,46,0.348,0,0,,16,46,0.348,0.348,10,14,0.714,15,17,32,7,3,14,6,23,42,11.9,0.403,0.0,0.304,11.9,13.8,12.9,7.6,1.1,7.1,10.3,18.0,0.0,0.2,0.1,0.043,-3.9,0.1,-3.8,-0.1
46,41,Cal Bowdler,SF,46,423,49,115,0.426,0,1,0.0,49,114,0.43,0.426,24,38,0.632,22,63,85,14,14,9,21,46,122,10.0,0.463,0.009,0.33,5.7,16.3,11.0,5.2,1.7,1.4,13.8,16.0,-0.1,0.3,0.2,0.027,-3.4,-0.3,-3.7,-0.2
56,47,A.J. Bramlett,C,8,61,4,21,0.19,0,0,,4,21,0.19,0.19,0,0,,12,10,22,0,1,0,3,13,8,-0.4,0.19,0.0,0.0,21.7,18.5,20.1,0.0,0.8,0.0,12.5,17.1,-0.2,0.1,-0.2,-0.129,-9.2,-6.7,-15.9,-0.2
57,48,Elton Brand,PF,81,2999,630,1306,0.482,0,2,0.0,630,1304,0.483,0.482,367,536,0.685,348,462,810,155,66,132,228,259,1627,20.6,0.528,0.002,0.41,13.3,18.4,15.8,11.8,1.2,3.3,12.9,27.0,4.2,3.3,7.5,0.121,2.2,-0.9,1.3,2.5
71,60,Rodney Buford,SG,34,386,62,151,0.411,7,29,0.241,55,122,0.451,0.434,16,22,0.727,10,38,48,21,10,8,9,44,147,11.2,0.457,0.192,0.146,3.1,10.9,7.2,9.2,1.4,1.5,5.3,20.5,0.1,0.5,0.6,0.072,-2.5,-0.5,-3.0,-0.1
88,75,John Celestand,PG,16,185,15,45,0.333,2,9,0.222,13,36,0.361,0.356,5,6,0.833,1,10,11,20,7,0,16,22,37,2.7,0.388,0.2,0.133,0.6,5.7,3.2,15.2,1.9,0.0,25.1,15.1,-0.4,0.2,-0.1,-0.038,-7.7,0.1,-7.6,-0.3
107,91,Vonteego Cummings,PG,75,1793,265,655,0.405,49,151,0.325,216,504,0.429,0.442,127,169,0.751,57,127,184,247,91,13,132,174,706,12.9,0.484,0.231,0.258,3.1,7.9,5.4,22.6,2.6,0.5,15.3,20.2,0.7,0.7,1.3,0.036,-1.2,-0.5,-1.7,0.2
119,99,Baron Davis,PG,82,1523,182,433,0.42,25,111,0.225,157,322,0.488,0.449,97,153,0.634,48,117,165,309,97,19,140,201,486,12.9,0.486,0.256,0.353,3.6,8.4,6.1,32.6,3.3,0.9,21.9,18.9,-0.1,2.2,2.1,0.065,-2.0,1.2,-0.8,0.5
139,119,Obinna Ekezie,PF,39,351,41,88,0.466,0,0,,41,88,0.466,0.466,43,64,0.672,34,58,92,8,9,4,26,61,125,11.8,0.538,0.0,0.727,11.5,19.9,15.7,3.7,1.4,0.8,18.3,18.4,0.2,0.2,0.5,0.063,-3.1,-1.7,-4.8,-0.2
147,125,Evan Eschmeyer,C,31,373,38,72,0.528,0,0,,38,72,0.528,0.528,15,30,0.5,40,68,108,21,8,21,21,84,91,11.8,0.534,0.0,0.417,11.5,21.0,16.1,8.7,1.1,3.9,19.8,12.7,0.3,0.4,0.7,0.095,-4.2,0.6,-3.5,-0.1
156,134,Jeff Foster,C,19,86,13,23,0.565,0,1,0.0,13,22,0.591,0.565,17,25,0.68,12,20,32,5,5,1,2,18,43,25.6,0.632,0.043,1.087,16.3,25.1,20.9,9.4,3.0,0.8,5.6,19.0,0.5,0.2,0.6,0.345,2.8,1.7,4.4,0.1
159,137,Steve Francis,PG,77,2776,497,1117,0.445,107,310,0.345,390,807,0.483,0.493,287,365,0.786,152,257,409,507,118,29,306,231,1388,18.4,0.543,0.278,0.327,6.3,10.2,8.3,31.6,2.2,0.7,19.3,25.0,4.4,2.0,6.4,0.111,2.7,-0.6,2.0,2.8
170,146,Devean George,SF,49,345,56,144,0.389,16,47,0.34,40,97,0.412,0.444,27,41,0.659,29,46,75,12,10,4,21,54,155,12.1,0.478,0.326,0.285,9.1,14.1,11.6,5.5,1.5,0.8,11.5,23.3,0.1,0.6,0.7,0.093,-2.5,-1.0,-3.5,-0.1
173,149,Dion Glover,SG,30,446,66,171,0.386,12,45,0.267,54,126,0.429,0.421,51,70,0.729,15,23,38,27,15,4,28,28,195,12.4,0.483,0.263,0.409,3.7,5.6,4.7,9.9,1.8,0.6,12.2,22.8,0.2,0.1,0.3,0.029,-1.0,-1.6,-2.6,-0.1
182,158,Richard Hamilton,SG,71,1373,254,605,0.42,28,77,0.364,226,528,0.428,0.443,103,133,0.774,38,91,129,108,28,6,84,142,639,11.6,0.482,0.127,0.22,3.1,7.7,5.4,13.7,1.1,0.3,11.2,24.2,0.4,0.3,0.7,0.024,-1.4,-2.2,-3.7,-0.6
200,174,Chris Herren,PG,45,597,45,124,0.363,24,67,0.358,21,57,0.368,0.46,27,40,0.675,12,40,52,111,15,2,42,74,141,8.9,0.498,0.54,0.323,2.2,7.4,4.7,26.8,1.3,0.2,22.9,13.4,0.3,0.2,0.5,0.041,-2.4,-1.6,-4.0,-0.3
225,195,Tim James,SF,4,23,5,14,0.357,0,0,,5,14,0.357,0.357,1,3,0.333,3,1,4,2,0,3,2,1,11,12.6,0.359,0.0,0.214,15.9,4.8,10.1,16.3,0.0,9.5,11.5,35.1,-0.1,0.0,-0.1,-0.105,-2.5,-2.5,-5.0,0.0
241,207,Jumaine Jones,SF,33,138,22,58,0.379,2,4,0.5,20,54,0.37,0.397,11,18,0.611,16,22,38,5,6,5,14,10,57,12.6,0.432,0.069,0.31,12.6,17.9,15.2,6.1,2.3,2.6,17.5,25.4,-0.2,0.3,0.0,0.008,-2.7,-0.7,-3.4,0.0
248,214,Lari Ketner,PF,22,132,13,32,0.406,0,0,,13,32,0.406,0.406,8,12,0.667,12,22,34,1,4,3,10,20,34,7.1,0.456,0.0,0.375,10.0,19.2,14.5,1.4,1.5,1.7,21.2,15.8,-0.1,0.2,0.0,0.004,-5.6,-1.4,-7.0,-0.2
249,214,Lari Ketner,PF,6,41,4,10,0.4,0,0,,4,10,0.4,0.4,2,2,1.0,0,7,7,1,1,1,3,8,10,3.6,0.46,0.0,0.2,0.0,20.4,10.0,4.4,1.3,1.8,21.6,15.5,-0.1,0.0,0.0,-0.026,-8.0,-0.5,-8.4,-0.1
250,214,Lari Ketner,PF,16,91,9,22,0.409,0,0,,9,22,0.409,0.409,6,10,0.6,12,15,27,0,3,2,7,12,24,8.7,0.455,0.0,0.455,14.6,18.6,16.6,0.0,1.7,1.6,21.0,16.0,-0.1,0.1,0.0,0.018,-4.5,-1.9,-6.4,-0.1
266,226,Trajan Langdon,SG,10,145,15,40,0.375,8,19,0.421,7,21,0.333,0.475,11,11,1.0,4,11,15,11,5,0,6,16,49,10.9,0.546,0.475,0.275,3.0,8.6,5.8,11.7,1.7,0.0,11.8,15.2,0.2,0.1,0.3,0.098,-1.0,0.3,-0.7,0.0
270,230,Quincy Lewis,SG,74,896,111,298,0.372,23,63,0.365,88,235,0.374,0.411,38,52,0.731,46,67,113,40,24,15,46,158,283,6.6,0.441,0.211,0.174,6.4,8.9,7.7,7.1,1.4,1.3,12.5,18.9,-0.5,0.9,0.3,0.018,-4.5,-0.9,-5.5,-0.8
278,238,Todd MacCulloch,C,56,528,89,161,0.553,0,0,,89,161,0.553,0.553,28,54,0.519,48,98,146,13,11,37,26,94,206,16.1,0.557,0.0,0.335,9.9,20.8,15.3,4.2,1.1,5.1,12.3,17.5,0.7,1.0,1.7,0.15,-1.6,1.6,0.0,0.3
281,241,Corey Maggette,SF,77,1370,224,469,0.478,2,11,0.182,222,458,0.485,0.48,196,261,0.751,123,180,303,61,24,26,138,169,646,14.1,0.553,0.023,0.557,9.8,14.3,12.0,7.0,0.9,1.3,19.1,22.1,1.2,1.4,2.6,0.091,-1.5,-1.0,-2.5,-0.2
287,247,Shawn Marion,SF,51,1260,222,471,0.471,4,22,0.182,218,449,0.486,0.476,72,85,0.847,105,227,332,69,38,53,51,113,520,17.1,0.511,0.047,0.18,9.5,19.7,14.7,9.1,1.5,3.0,9.1,19.6,1.7,2.4,4.1,0.158,0.3,0.9,1.3,1.0
309,267,Andre Miller,PG,82,2093,339,755,0.449,10,49,0.204,329,706,0.466,0.456,226,292,0.774,85,195,280,476,84,17,166,194,914,17.9,0.517,0.065,0.387,4.5,10.5,7.5,38.7,2.0,0.6,15.8,21.8,3.5,1.8,5.3,0.122,1.9,0.0,1.9,2.1
338,296,Lamar Odom,SF,76,2767,449,1024,0.438,59,164,0.36,390,860,0.453,0.467,302,420,0.719,159,436,595,317,91,95,258,291,1259,16.8,0.521,0.16,0.41,6.2,18.2,12.0,20.2,1.7,2.3,17.6,23.5,1.7,1.5,3.2,0.055,0.8,-0.2,0.6,1.8
349,305,Scott Padgett,PF,47,432,44,140,0.314,13,44,0.295,31,96,0.323,0.361,19,27,0.704,24,64,88,25,14,8,22,55,120,7.6,0.395,0.314,0.193,6.9,17.7,12.4,8.9,1.7,1.4,12.7,18.6,-0.5,0.6,0.1,0.013,-4.0,-0.5,-4.5,-0.3
369,325,James Posey,SF,81,2052,230,536,0.429,82,220,0.373,148,316,0.468,0.506,120,150,0.8,85,232,317,146,98,33,95,207,662,13.0,0.55,0.41,0.28,4.5,12.4,8.4,10.8,2.4,1.1,13.6,14.8,2.5,1.9,4.3,0.101,-0.5,1.2,0.7,1.4
