Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Ben Simmons,LSU,6,332,10790,4765,2599,2469,.560,.139,.589,32.5,14.4,7.8,7.4,33.6,.149,3.3,14.6
2,2,LAL,Brandon Ingram,Duke,8,477,15721,9256,2466,2037,.468,.362,.786,33.0,19.4,5.2,4.3,27.2,.083,0.1,8.4
3,3,BOS,Jaylen Brown,California,8,540,16307,10038,2840,1303,.480,.364,.720,30.2,18.6,5.3,2.4,35.3,.104,0.4,9.7
4,4,PHO,Dragan Bender,,4,187,3755,1014,720,237,.399,.323,.654,20.1,5.4,3.9,1.3,0.5,.006,-3.9,-1.9
5,5,MIN,Kris Dunn,Providence,8,333,7714,2642,1104,1407,.437,.323,.739,23.2,7.9,3.3,4.2,7.7,.048,-1.5,1.0
6,6,NOP,Buddy Hield,Oklahoma,8,632,18317,9820,2672,1641,.434,.400,.860,29.0,15.5,4.2,2.6,24.9,.065,0.4,11.0
7,7,DEN,Jamal Murray,Kentucky,7,469,14378,8187,1757,2106,.452,.380,.867,30.7,17.5,3.7,4.5,31.9,.106,0.9,10.7
8,8,SAC,Marquese Chriss,Washington,6,292,5338,2206,1366,298,.456,.290,.667,18.3,7.6,4.7,1.0,6.5,.058,-2.4,-0.5
9,9,TOR,Jakob Poeltl,Utah,8,538,11634,4487,3606,925,.631,.500,.538,21.6,8.3,6.7,1.7,38.7,.159,1.1,9.2
10,10,MIL,Thon Maker,,5,263,3624,1216,726,161,.435,.327,.680,13.8,4.6,2.8,0.6,6.6,.087,-2.1,-0.1
11,11,ORL,Domantas Sabonis,Gonzaga,8,576,17470,9064,5908,2739,.556,.332,.726,30.3,15.7,10.3,4.8,59.8,.164,3.2,22.8
12,12,UTA,Taurean Prince,Baylor,8,502,12236,5089,1804,850,.424,.376,.811,24.4,10.1,3.6,1.7,11.5,.045,-2.1,-0.3
13,13,PHO,Georgios Papagiannis,,2,39,477,160,123,29,.514,.000,.857,12.2,4.1,3.2,0.7,0.4,.044,-3.9,-0.2
14,14,CHI,Denzel Valentine,Michigan State,5,256,4817,1795,857,466,.394,.360,.787,18.8,7.0,3.3,1.8,4.5,.044,-1.9,0.2
15,15,DEN,Juancho Hernangómez,,7,339,5269,1711,1131,216,.428,.342,.676,15.5,5.0,3.3,0.6,8.7,.080,-1.9,0.1
16,16,BOS,Guerschon Yabusele,,2,74,486,173,105,31,.442,.323,.682,6.6,2.3,1.4,0.4,1.1,.104,-1.9,0.0
17,17,MEM,Wade Baldwin,Vanderbilt,3,56,579,174,69,78,.355,.250,.776,10.3,3.1,1.2,1.4,-0.3,-.028,-5.3,-0.5
18,18,DET,Henry Ellenson,Marquette,5,83,787,342,206,49,.371,.336,.773,9.5,4.1,2.5,0.6,0.4,.023,-3.7,-0.3
19,19,DEN,Malik Beasley,Florida State,8,496,11456,5402,1398,650,.425,.385,.800,23.1,10.9,2.8,1.3,15.4,.064,-1.3,2.1
20,20,IND,Caris LeVert,Michigan,8,460,12955,6498,1778,1890,.434,.341,.739,28.2,14.1,3.9,4.1,19.9,.074,-0.4,5.3
