Rk,Tm,Overall,Balance
1,BOS,64-18,0.7804878048780488
2,DEN,57-25,0.6951219512195121
3,OKC,57-25,0.6951219512195121
4,MIN,56-26,0.6829268292682927
5,LAC,51-31,0.6219512195121951
6,DAL,50-32,0.6097560975609756
7,NYK,50-32,0.6097560975609756
8,MIL,49-33,0.5975609756097561
9,NOP,49-33,0.5975609756097561
10,PHO,49-33,0.5975609756097561
11,CLE,48-34,0.5853658536585366
12,IND,47-35,0.573170731707317
13,LAL,47-35,0.573170731707317
14,ORL,47-35,0.573170731707317
15,PHI,47-35,0.573170731707317
16,MIA,46-36,0.5609756097560976
17,GSW,46-36,0.5609756097560976
18,SAC,46-36,0.5609756097560976
19,HOU,41-41,0.5
20,CHI,39-43,0.47560975609756095
21,ATL,36-46,0.43902439024390244
22,BKN,32-50,0.3902439024390244
23,UTA,31-51,0.3780487804878049
24,MEM,27-55,0.32926829268292684
25,TOR,25-57,0.3048780487804878
26,SAS,22-60,0.2682926829268293
27,CHA,21-61,0.25609756097560976
28,POR,21-61,0.25609756097560976
29,WAS,15-67,0.18292682926829268
30,DET,14-68,0.17073170731707318
