Tm_encoded,Pos_encoded,Player_Encoded,Season,MP,FG,FGA,3P,2P,2PA,FT,FTA,DRB,TRB,AST,BLK,TOV,PF,PTS,PER,TS%,FTr,BLK%,TOV%,OWS,DWS,WS,WS/48,BPM,VORP,Balance,all_rookie
32,4,658,2022,1209,165,386,81,84,158,56,69,78,121,67,15,41,99,467,9.5,0.561,0.179,1.0,9.0,0.9,0.4,1.3,0.053,-3.0,-0.3,0.4512195121951219,0.0
9,3,672,2022,226,43,109,32,11,25,4,6,39,40,11,4,11,14,122,11.3,0.546,0.055,1.6,9.0,-0.1,0.3,0.1,0.029,-2.1,0.0,0.5365853658536586,0.0
24,1,668,2022,2430,479,1122,85,394,837,394,534,413,497,269,39,200,160,1437,14.9,0.529,0.476,1.5,12.8,-0.3,2.6,2.4,0.047,-1.5,0.3,0.4146341463414634,1.0
16,3,570,2022,701,96,243,47,49,101,27,37,77,115,35,7,45,71,266,8.2,0.513,0.152,0.8,14.8,-0.4,0.8,0.4,0.027,-4.8,-0.5,0.7073170731707317,0.0
29,4,564,2022,1550,269,611,77,192,356,58,70,153,181,127,7,76,115,673,9.5,0.524,0.115,0.4,10.6,-0.4,0.2,-0.1,-0.004,-5.2,-1.3,0.2682926829268293,0.0
7,4,131,2022,1181,143,289,34,109,193,40,64,133,181,59,17,35,101,360,10.3,0.568,0.221,1.3,9.9,0.7,1.2,1.9,0.079,-2.4,-0.1,0.6463414634146342,0.0
11,4,488,2022,40,4,7,0,4,6,1,2,4,6,3,0,2,9,9,9.1,0.571,0.286,0.0,20.2,0.0,0.1,0.1,0.071,-2.9,0.0,0.4268292682926829,0.0
14,2,490,2022,281,35,83,2,33,68,6,13,29,38,58,5,18,15,78,10.6,0.44,0.157,1.6,16.9,-0.1,0.4,0.3,0.044,-2.7,0.0,0.6219512195121951,0.0
13,4,599,2022,512,44,106,26,18,44,14,16,68,75,21,7,13,33,128,7.4,0.566,0.151,1.2,10.3,0.1,0.5,0.6,0.058,-3.1,-0.1,0.524390243902439,0.0
21,2,245,2022,1042,87,208,27,60,122,26,40,152,188,134,11,57,99,227,8.8,0.503,0.192,1.0,20.2,-0.1,1.4,1.3,0.061,-1.8,0.0,0.5121951219512195,0.0
34,4,426,2022,423,66,171,17,49,101,14,27,55,65,28,8,17,48,163,7.2,0.446,0.158,1.6,8.5,-0.6,0.3,-0.3,-0.033,-7.4,-0.6,0.4268292682926829,0.0
1,4,319,2022,66,8,19,2,6,12,1,2,7,9,11,2,4,5,19,10.1,0.478,0.105,2.6,16.8,0.0,0.1,0.1,0.059,-4.2,0.0,0.6951219512195121,0.0
12,0,633,2022,195,24,47,1,23,45,10,16,19,50,4,8,9,15,59,14.2,0.546,0.34,3.6,14.3,0.2,0.2,0.4,0.105,-2.8,0.0,0.5365853658536586,0.0
23,1,665,2022,569,76,181,26,50,83,15,23,86,105,46,7,26,42,193,9.3,0.505,0.127,1.1,12.0,-0.1,0.6,0.4,0.038,-3.6,-0.2,0.4878048780487805,0.0
